+-------------------+------------------------------------------+--------------------------------+-----------------------------------------------------------------------------------------+
| N˙mero de Cidad„o |      Nome(s) PrÛprio(s) e Apelido(s)     |     Concelho de ResidÍncia     |                                       Profiss„o                                         |
|     56451315      | Jeremias Apol¢nia Rivas                  | Loures                         | FotÛgrafos e Operadores de Aparelhos de Registo de Imagem e de Som                     |
|     80093355      | Antenor Belarmino Tavares Ventura        | Calheta De S„o Jorge           | Outros Corretores de Bolsa, Cambistas e de Outros ServiÁos Financeiros                 |
|     25281589      | Tasha Toledo                             | Odemira                        | Outros Montadores e Reparadores de Aparelhagem ElÈctrica                               |
|     14616175      | Luciana Carmelinda Murtinho Pegado       | Lajes Do Pico                  | Assentador de Manilhas de GrÈs e Cimento                                               |
|     32454058      | Ernane Carla FranÁa Passarinho           | Vieira Do Minho                | Guarda-Freio ñ Carros ElÈctricos                                                       |
|     92246601      | Olga Hirondina BeÁa                      | OurÈm                          | Operador de InstalaÁ„o Autom·tica de PreparaÁ„o de Pasta ñ Fibrocimento                |
|     92042996      | El¢i Bezerril Vilarim                    | Figueira De Castelo Rodrigo    | Operador de Enchimento Autom·tico de G·s CarbÛnico                                     |
|     60623197      | Brenda Pamela Rodrigues Damascena        | Arouca                         | Escriv„o ñ ServiÁos JurÌdicos                                                          |
|     25224826      | Osmar Edson MascareÒas                   | Cabeceiras De Basto            | Radiotelegrafista (Operador Radiotelegrafista) ñ NavegaÁ„o AÈrea                       |
|     15847548      | Caetana TristÑo Malho Pedrozo            | Moita                          | Detective Particular                                                                   |
|     39067964      | F†bio Geraldina Ruas                     | FigueirÛ Dos Vinhos            | AntropÛlogo                                                                            |
|     26869028      | Belinda Dalva Dantas Mesquita            | Faro                           | Operador de M·quina de Preparar Massas ñ RebuÁados e Caramelos                         |
|     92480335      | Ricardino Arantes                        | Santa Maria Da Feira           | Engenheiro TÈcnico Civil ñ Higiene e Salubridade                                       |
|     34888731      | Neli EugÇnio Palos                       | Vale De Cambra                 | Confeccionador de velas                                                                |
|     74610710      | Üurea Rodovalho                          | Almeida                        | Operador de BalancÈ                                                                    |
|     98441429      | Ismael Aparecida Alencastre              | Vila Do Conde                  | Director de Transportes                                                                |
|     67595896      | Dinora Ginjeira Perdig„o                 | Vinhais                        | Moldador de Artigos em Fibra de Vidro                                                  |
|     39282031      | Tiago Emanuel Sacadura                   | Madalena                       | Operador de M·quinas ñ Pedreiras (Trabalhador de Pedreiras)                            |
|     91491907      | ClÇlia Vergueiro                         | Figueira De Castelo Rodrigo    | Ensaiadores e Outros Trabalhadores Similares                                           |
|     84782612      | Rafaela Deolinda Negromonte              | Freixo De Espada ¿ Cinta       | Outros Porteiros, Guardas e Trabalhadores Similares                                    |
|     10399174      | Justino Toscano Canto                    | Vila Pouca De Aguiar           | Engomador de Teias                                                                     |
|     28601711      | Firmina Fedra D‚maso                     | Batalha                        | Atleta Profissional, em Geral                                                          |
|     62808545      | Consuelo PÍcego Fraga                    | PaÁos De Ferreira              | Controlador de Tr·fego AÈreo                                                           |
|     10851176      | Cl†udio Mariz Lameiras                   | Miranda Do Corvo               | Operador de IluminaÁ„o ñ Cinema e Televis„o                                            |
|     62755136      | Gildo ClÇlia ThomÈ                       | Penafiel                       | Urdidor Mec‚nico                                                                       |
|     47752192      | Eul†lia Caeira Mexia                     | Nelas                          | Operadores de InstalaÁıes de ProduÁ„o de Energia e Trabalhadores Similares             |
|     34115629      | BarnabÇ Moraes                           | Amarante                       | Operador Radiotelegrafista                                                             |
|     83341571      | SebastiÑo Serpa                          | Manteigas                      | Posticeiro                                                                             |
|     21876277      | Osmar Silvino Quintero Lisboa            | Bai„o                          | Guarda de Vesti·rio                                                                    |
|     93948313      | Calebe Pilar Cantanhede Palmeira         | Armamar                        | Engenheiros Civis e Engenheiros TÈcnicos Civis                                         |
|     61209098      | Osvaldo Covelh„ Falc„o                   | Celorico Da Beira              | Tecel„o ñ Tecidos e Produtos Similares;                                                |
|     50773743      | Sa£l Trigueiro                           | Machico                        | Brochador Mec‚nico                                                                     |
|     96579277      | Natacha Camacho                          | Borba                          | Monitor de Gimno e Desportiva                                                          |
|     16926059      | Em°dio Marinho Cantanhede                | Porto Moniz                    | Peleiros e Trabalhadores Similares                                                     |
|     74167618      | ñrsula Renan Bulh„o Lago                 | Redondo                        | Outros Economistas                                                                     |
|     90768109      | Idalina Mieiro                           | Goleg„                         | Trabalhador Rural                                                                      |
|     90443459      | Maristela Osorio Paredes                 | Alf‚ndega Da FÈ                | Directores de ServiÁos Inform·ticos                                                    |
|     17450293      | Elizeu Conde D‚maso                      | Horta                          | Outros TÈcnicos de Turismo                                                             |
|     57079466      | Sabrina Esa£ Bessa Serpa                 | Lourinh„                       | Engenheiro AgrÛnomo                                                                    |
|     46844328      | Esa£ BarnabÇ Vasconcelos                 | Terras De Bouro                | Outros Operadores de InstalaÁıes de ProduÁ„o de Energia                                |
|     59134202      | Hugo Cristiana Salt„o Vel·zquez          | Nelas                          | Artes„os de Artigos em Madeira e Materiais Similares                                   |
|     78678960      | Elisa Barbalho                           | Mealhada                       | Cardador ñ Peles                                                                       |
|     56208123      | Olivier Melinda Horta Dur„o              | Angra Do HeroÌsmo              | Engenheiro TÈcnico Civil ñ Vias de ComunicaÁ„o                                         |
|     71261449      | Cristiano Joyce Rufino Silva             | Vila Real                      | Operador ñ Telegrafista                                                                |
|     96451555      | Liana Cerqueira Braz                     | Sardoal                        | Professor do Ensino Vocacional ArtÌstico                                               |
|     30599389      | Aline Olga Janes                         | Alcoutim                       | Supervisor (Inspector) dos ServiÁos de CobranÁas e Leituras                            |
|     35240112      | Emanuel Leopoldina Liberato Torcato      | Ribeira Brava                  | Representantes Comerciais e TÈcnicos de Vendas                                         |
|     17315291      | Evaldo Evandro Bentes                    | Caldas Da Rainha               | Operador de M·quina de Acolchoar                                                       |
|     34327158      | Caio ñrsula Porci˙ncula                  | Montalegre                     | Outros Assistentes Dent·rios e Trabalhadores Similares                                 |
|     10883654      | Flora Mafra Forte                        | Cuba                           | Naturopata ñ Naturologista                                                             |
|     97682256      | Apol¢nia Lara                            | Vieira Do Minho                | TÈcnico de Robots Industriais                                                          |
|     40149040      | Evangelina Olivier Doutel                | Pombal                         | Condutores de VeÌculos de TracÁ„o Animal                                               |
|     79624720      | Albina EugÇnia Pires                     | Redondo                        | Polidor de Lentes ñ Vidro de ”ptica                                                    |
|     80203649      | Loide Miriam Rivas                       | Macedo De Cavaleiros           | Inspector de Revis„o de Bilhetes ñ Caminhos de Ferro                                   |
|     23909161      | Edgar Regalado Caparica                  | Lagoa                          | Veterin·rio                                                                            |
|     33515596      | Natanael Sintra                          | Ribeira De Pena                | Outros Secret·rios                                                                     |
|     17699093      | Em°dio Cisneiros                         | Fafe                           | Operador de Painel de Comando Centralizado                                             |
|     13894410      | Waldemar Carvalho                        | Oliveira De Frades             | Guarda, Rondista                                                                       |
|     44619304      | Caetano Quint„o                          | Vila Nova De Cerveira          | Engenheiro Civil                                                                       |
|     31717078      | L£cia Soares                             | Porto Santo                    | Colador de Lentes ñ Vidro de ”ptica                                                    |
|     65021859      | Al°cia Velasco Sanches                   | Castelo De Paiva               | Director de Vendas                                                                     |
|     87591979      | Assunta Brum                             | Mafra                          | Brochador Mec‚nico                                                                     |
|     98771713      | Ivo Barreto Mayor                        | Moimenta Da Beira              | Provador de Vinhos                                                                     |
|     26985342      | RogÇrio Costa                            | Corvo                          | Mestre de Redes ñ Pesca do Largo                                                       |
|     88719119      | Vinicios Ramiro Amaro                    | Machico                        | Director de EstaÁ„o de Radiotelevis„o                                                  |
|     68872419      | Ramiro Moura                             | Palmela                        | Carpinteiro de Tosco                                                                   |
|     47991459      | Deolinda Luciana Carromeu PoÁas          | Viana Do Castelo               | Bordador ‡ M·quina                                                                     |
|     13522710      | Ieda Guilherme CafÈ                      | Moura                          | Montador de Artigos em Madeira e MatÈrias Similares                                    |
|     55948008      | Rosana Vasconcellos                      | Velas                          | Bibliotec·rios e Documentalistas                                                       |
|     66890478      | Sheila Luca Rodrigues                    | Vila De Rei                    | Caldeireiros, Latoeiros e Bate-Chapas                                                  |
|     15522741      | Te¢filo Domingos                         | Boticas                        | Branqueador de Produtos TÍxteis                                                        |
|     14892574      | Aldino Venceslau Torres                  | Cabeceiras De Basto            | Outros Agentes Funer·rios e Trabalhadores Similares                                    |
|     94870882      | Joyce Ferraz                             | Mour„o                         | Electricistas da ConstruÁ„o Civil e Trabalhadores Similares                            |
|     72587675      | D¢ris Iolanda Vilas Boas                 | Vila De Rei                    | Operador de Montagem de RelÛgios                                                       |
|     46094492      | Nat†lia Avelina Cedro Falc„o             | Gr‚ndola                       | TÈcnico de Audiometria                                                                 |
|     85626612      | QuitÇria Agnes Pinho Areosa              | Alf‚ndega Da FÈ                | Director do Controlo de Qualidade                                                      |
|     31609971      | Agostinha Lobato Galante                 | Albergaria-A-Velha             | Outros Forjadores, Estampadores e Operadores de Prensas de Forjar                      |
|     18880976      | Cassilda Chamusca Moura                  | Set˙bal                        | Pessoal de Limpeza de EscritÛrios, HotÈis e Trabalhadores Similares                    |
|     17248898      | ñrsula Cantanhede                        | Borba                          | Encarregado ñ MatÈrias Pl·sticas                                                       |
|     13592875      | Simone Lucas Grande                      | Penafiel                       | Cozinheiros e Trabalhadores Similares                                                  |
|     63964401      | Vinicios TomÇ Maranh„o                   | Celorico De Basto              | Engenheiro Civil ñ GeotÈcnico                                                          |
|     59842631      | Hil†rio Glena Morais Mendes              | Mangualde                      | Engenheiro TÈcnico Civil ñ GeotÈcnico                                                  |
|     43906935      | AngÇlica AndrÇ Rego Taveira              | Ferreira Do Alentejo           | Vazador                                                                                |
|     66327351      | Virgolino Holanda Coito                  | Alvai·zere                     | Comandante de Navio                                                                    |
|     20183048      | Gustavo Ari Lobo                         | Vila Nova De Paiva             | Cantor                                                                                 |
|     32460472      | Hil†rio Albina Balsem„o                  | Peniche                        | Forjador Manual (Ferreiro)                                                             |
|     10796329      | Eust†cia Florinda Gama                   | Miranda Do Douro               | Acabador ñ Fotografias                                                                 |
|     41535811      | Adorinda Thays/Ta°s Santos Pena          | S„o Jo„o Da Madeira            | Operador de Grua ñ ConstruÁ„o Civil e Obras P˙blicas                                   |
|     60005540      | Herc°lia Furtado                         | S„o Vicente                    | Classificador de Lapidado                                                              |
|     47479224      | Tim¢teo Doutis Rodovalho                 | Fronteira                      | Torneiro ñ Fibrocimento                                                                |
|     95364368      | In†cio Freiria                           | Funchal                        | Operador de InstalaÁ„o de Tratamento QuÌmico                                           |
|     96982348      | Vilma Padilha Antas                      | Almeida                        | Trabalhadores N„o Qualificados da Ind˙stria Transformadora                             |
|     91582569      | Guida Valverde                           | Moimenta Da Beira              | Caixas e Bilheteiros                                                                   |
|     50691302      | Yara MoisÇs Lustosa Loio                 | Fund„o                         | Carvoeiros e Trabalhadores Similares                                                   |
|     94642263      | Silva Benvinda Arouca Camacho            | Goleg„                         | ZincÛgrafo (Gravador de Fotogravura)                                                   |
|     95231285      | Ieda Freitas Doutiz                      | Campo Maior                    | Vigilante de InstalaÁ„o Autom·tica de Estirar Vidro                                    |
|     40151585      | Adriano Valle Quesado                    | PÛvoa De Varzim                | Operador de "Rand-Weber"                                                               |
|     42332676      | Avelina Parracho Diniz                   | Arronches                      | Inspector da PolÌcia Judici·ria                                                        |
|     95478143      | Eli Cosme Ulhoa Soto                     | Peso Da RÈgua                  | Moldador-Prensador de Botas de Borracha                                                |
|     65731063      | Lis Pontes                               | Mora                           | Lavador de Vidros                                                                      |
|     81859627      | Fl†via CÇsar Vilas Boas Ara˙jo           | Porto De MÛs                   | Preparador de Pintura ñ Estruturas Met·licas                                           |
|     89166343      | Omar Gerson LÛio                         | Estarreja                      | Pintores e Decoradores de Vidro, Cer‚mica e Similares                                  |
|     98373118      | Erc°lia Valqu°ria Galante Meirelles      | Celorico De Basto              | Operador de Prensa Autom·tica                                                          |
|     62602044      | Cec°lia Laranjeira                       | Sobral De Monte AgraÁo         | Operadores de M·quinas de RevelaÁ„o                                                    |
|     79267482      | Adalberto Hermes Lobo Carmona            | Estarreja                      | FilÛlogos, Tradutores e IntÈrpretes                                                    |
|     25867243      | Kelvin Graziela Santos                   | MurÁa                          | Outros Conserveiros de Frutas, Frutas, Legumes e Similares                             |
|     65879693      | Ricardina Ferreira                       | Valongo                        | Bailarino ñ Variedades e Circo                                                         |
|     65784267      | Alana Eli Castello                       | Palmela                        | FotÛgrafos e Operadores de Aparelhos de Registo de Imagem e de Som                     |
|     37146494      | J¢ êrica Aveiro Jorge                    | Portalegre                     | Operador de M·quina de Manipular ñ MatÈrias Pl·sticas                                  |
|     48673692      | Virg°lio Sid¢nio Guimar„es               | Mogadouro                      | Bombeiro, em Geral                                                                     |
|     30283067      | Ludovico Passarinho Leal                 | Seia                           | Farmacologista                                                                         |
|     18142837      | JosÇ Paulina Natal Souza                 | Vila Nova De Gaia              | Confeccionador ñ Gelados                                                               |
|     30384612      | Raimundo Pacheco                         | Tavira                         | Piloto de Avi„o                                                                        |
|     99408178      | Fabr°cio Faia Ornellas                   | Rio Maior                      | Outros Contabilistas                                                                   |
|     37073248      | Apol¢nia Tatiana Fraga Cidreira          | Vieira Do Minho                | TÈcnicos de Relojoaria                                                                 |
|     71840759      | Leonor Severo                            | AlmodÙvar                      | Outros Representantes Comerciais e TÈcnicos de Vendas                                  |
|     19682532      | D¢ria ThomÈ Narvais                      | Fafe                           | Chefe de EstaÁ„o ñ Metropolitano                                                       |
|     12537709      | CornÇlio Clementino Cardim               | Horta                          | Carvoeiro                                                                              |
|     35996264      | Carla Vilanova                           | Torre De Moncorvo              | Operador de Fabrico de Malte                                                           |
|     58370993      | Petra BouÁas Angelim                     | NazarÈ                         | Operador de Linha de Fabrico de Produtos Alimentares                                   |
|     12546688      | Elizabeth Pablo Henriques                | PedrÛg„o Grande                | TÈcnico de InstalaÁıes ElÈctricas                                                      |
|     57761256      | Levi Clementino Chousa                   | Oliveira De Frades             | Outros Salineiros                                                                      |
|     41799311      | Flora Damiana Moita Martinho             | Vila Real                      | Produtor Teatral                                                                       |
|     26679483      | Renato Tadeu Viveiros Pic„o              | Mort·gua                       | TÈcnico de ”ptica Ocular                                                               |
|     68529878      | Ramiro Silveira                          | ¡gueda                         | Agricultores e Trabalhadores Qualificados da Agricultura, CriaÁ„o de Animais e Pescas  |
|     22365428      | C†tia Berenguer                          | Santa Maria Da Feira           | Director de Contas ñ Publicidade                                                       |
|     30935007      | Valdemar Padilha                         | Barcelos                       | Operador de InstalaÁ„o Autom·tica de Fabrico de Chapa ñ Fibrocimento                   |
|     19155521      | Edmar Veloso AÁores Castanho             | MaÁ„o                          | Vendedor de Mercado                                                                    |
|     31313740      | Jesus Menezes                            | Anadia                         | FÌsicos, QuÌmicos e Especialistas Similares                                            |
|     15777159      | Margarida Toledo Pessoa                  | Ferreira Do ZÍzere             | Pessoal dos ServiÁos de ProtecÁ„o e SeguranÁa                                          |
|     44080906      | Clarisse Barcelos Rebello                | Mealhada                       | Empregado de Mesa                                                                      |
|     16275590      | Perceu Castanheira                       | T·bua                          | Motorista ñ Pesca do Largo                                                             |
|     20768718      | Jocelina Nilton Bensa˙de                 | Aveiro                         | Carpinteiro de Limpos                                                                  |
|     94452569      | Gabriel Jorge Barra                      | MonÁ„o                         | Condutores de VeÌculos Pesados de Mercadorias                                          |
|     59392753      | Nadina Reis                              | PaÁos De Ferreira              | Engenheiro TÈcnico Agr·rio ñ ProduÁ„o AgrÌcola                                         |
|     33037873      | Marina Vasco Bivar Oliveira              | Coruche                        | Especialistas das Profissıes Intelectuais e CientÌficas                                |
|     94278588      | TomÇ CortÍs Mansilha                     | Porto Santo                    | Penhoristas e Trabalhadores Similares                                                  |
|     73029150      | Il°dio Valim                             | Camara De Lobos                | Agente de Desenvolvimento                                                              |
|     86425380      | Elizeu Amador Bugalho                    | Barrancos                      | Bordador ‡ M„o                                                                         |
|     24220795      | Liana Iolanda ColaÁo Torquato            | Aveiro                         | Outros Trabalhadores de Artigos de Pirotecnia                                          |
|     45508225      | Nina Damasceno Secadura                  | Caldas Da Rainha               | Operadores de InstalaÁıes e M·quinas e Trabalhadores da Montagem                       |
|     99078907      | Adelinda Castelo                         | Vila Real De Santo AntÛnio     | Planteador (Riscador)                                                                  |
|     62112674      | DorotÇia Natividade Barroqueiro Ferreira | Lous„                          | Empregada DomÈstica ñ Casas Particulares                                               |
|     96397275      | Pablo Aleixo Barateiro                   | Vila Nova De Cerveira          | Outros Lavadores de Vidros, de VeÌculos e Colocadores de An˙ncios                      |
|     10931982      | Mavilde Glaucia Coimbra Mirandela        | Ferreira Do ZÍzere             | Magarefe                                                                               |
|     47837198      | Roberta Moutinho Bugalho                 | Torre De Moncorvo              | Operador de Forno ContÌnuo ñ Cer‚mica                                                  |
|     42525472      | Jandira Veiga Pena                       | Ponta Delgada                  | Preparador de Lotes ñ Tabaco                                                           |
|     54106897      | Benedito Cruz Lameirinhas                | Batalha                        | Outros Directores Gerais                                                               |
|     68054139      | Ferdinando Betancour                     | Nisa                           | Encarregado ñ PreparaÁ„o e Fabrico de Cigarros                                         |
|     90597843      | DamiÑo Paix„o Trigueiro                  | Amadora                        | Alisador Mec‚nico ñ Peles                                                              |
|     73272134      | Ülvaro Pl†cido Carlos                    | Amadora                        | Trefiladores e Estiradores                                                             |
|     21627240      | JosÇlia Valadares Teves Grande           | Coimbra                        | Arrais de Pesca                                                                        |
|     41448723      | Berenice Marta Naz·rio Varella           | Vila Flor                      | Mec‚nico de Madeiras                                                                   |
|     34638814      | Frederico Salt„o                         | ¡gueda                         | BiÛlogo ñ Especialista em GenÈtica                                                     |
|     97944348      | Apol¢nia EusÇbio Cerqueira Hil·rio       | S„o Roque Do Pico              | Encarregado ñ Equipamento Emissor e Receptor de R·dio e TV                             |
|     80353142      | Omar Leit„o Pessanha                     | Vila Nova Da Barquinha         | Cerzidor de Tecidos e Malhas                                                           |
|     64117261      | Sandro Carina Carvalheira Guilheiro      | Arraiolos                      | Montador de Cabos ñ Alta e Baixa Tens„o                                                |
|     85504622      | EstefÉnia Sidney Velasques               | Viseu                          | Atletas, Desportistas e Trabalhadores Similares                                        |
|     57742707      | NoÇmia Castilho                          | SantarÈm                       | Directores de ProduÁ„o, ExploraÁ„o e Similares                                         |
|     55646375      | NazarÇ Dana Mexia                        | Vila Real De Santo AntÛnio     | TÈcnicos de DiagnÛstico e TerapÍutica                                                  |
|     32337869      | Alana Carmo Quintanilha                  | Monchique                      | Enfardador                                                                             |
|     85301387      | Renan Hildegarda Mirandela               | Portalegre                     | Outros Trabalhadores Florestais N„o Qualificados                                       |
|     85854921      | Eduarda Loureiro Cipriano                | Sousel                         | FarmacÍuticos                                                                          |
|     65078172      | Alana Adelinda Carvalhosa                | Guarda                         | Agente de PolÌcia MarÌtima                                                             |
|     91895603      | Constantino N°dia Vilarim Bessa          | Cascais                        | Trabalhadores do Fabrico e ReparaÁ„o de Instrumentos de M˙sica                         |
|     37138743      | Nara Din† Farinha                        | Calheta De S„o Jorge           | Ilusionista                                                                            |
|     48287817      | Margarete Dina Negr„o Salvado            | Barrancos                      | Preparador de Amostras ñ MinÈrio                                                       |
|     36293010      | Nataniel Jocosa Saloio                   | Macedo De Cavaleiros           | Quadros Superiores da AdministraÁ„o P˙blica                                            |
|     66525833      | Morgana Alcione Mantas                   | Porto                          | Operador de M·quina de Preparar Massa (Preparador de Massa) Chocolate                  |
|     75135010      | Ondina Tadeu Miera Ferr„o                | Castro Marim                   | Outros MÈdicos                                                                         |
|     63968663      | Caetano Moreno                           | Barcelos                       | Outros Especialistas de Ensino                                                         |
|     50071263      | Valdir Rosinha Forte Aires               | Entroncamento                  | Operador de Som ñ Cinema, Televis„o e R·dio                                            |
|     99864746      | Evaldo Reino                             | Alcochete                      | FotÛgrafo                                                                              |
|     21004990      | Olivier Coutinho                         | Porto Santo                    | TÈcnicos de Contabilidade e Trabalhadores Similares                                    |
|     92703955      | UbiratÑ Minho                            | T·bua                          | Economista                                                                             |
|     61762260      | Lucas Ap¢lo Pimenta                      | Batalha                        | Bilheteiro                                                                             |
|     29015048      | Yuri Almeida Gabeira                     | Lagoa                          | Outros Operadores de M·quinas ñ Ferramentas ñ Trabalho em SÈrie dos Metais             |
|     25455422      | Antonieta Lira                           | Manteigas                      | Operador de Torno                                                                      |
|     19202061      | Normando MÈndez ValÈrio                  | Ponte De Sor                   | Padeiros, Pasteleiros e Confeiteiros                                                   |
|     69489957      | Julieta Augusto Rebimbas                 | Lousada                        | Desenhadores e Trabalhadores Similares                                                 |
|     29409946      | Adauto Ana°sa Soares Belo                | Alter Do Ch„o                  | Outros Especialistas do Trabalho Social                                                |
|     40576214      | Silvano Rodolfo Coitinho Mexia           | TabuaÁo                        | Colchoeiro                                                                             |
|     43595789      | EugÇnio Franklin Junqueira               | Santa Comba D„o                | Amestrador de Animais                                                                  |
|     97096366      | Denise Quixote Arantes                   | T·bua                          | Operadores de M·quinas para Trabalhar Metais e Produtos Minerais                       |
|     68394209      | Glena Noemi CÈsar                        | Estarreja                      | Quebrador                                                                              |
|     63022843      | Isaura Amaro                             | Castelo De Vide                | Outros Assistentes de Medicina Dent·ria                                                |
|     30762046      | CÉndida Canejo Bulhıes                   | Cartaxo                        | Outros Pintores de SuperfÌcies Met·licas, Plastificadores e Envernizadores             |
|     90568535      | Adauto Consuela Rangel                   | Albufeira                      | TraÁador                                                                               |
|     32355980      | Flaviano Vanusa Ximenes Matos            | Lousada                        | Operador de ProduÁ„o TÈrmica                                                           |
|     44388234      | Juliana Azambuja                         | Torres Novas                   | Alimentador (Recolhedor) ñ Cigarros                                                    |
|     54407450      | Narciso Fonseca                          | Vila Nova Da Barquinha         | Condutores de M·quinas AgrÌcolas e Florestais                                          |
|     79230132      | Mavilde Cerveira Mansilha                | Esposende                      | Operador de PantÛgrafo ñ Metais                                                        |
|     39676483      | Cristela Bairros Meireles                | Chamusca                       | Lapidador ñ Vidro e Cer‚mica                                                           |
|     28664290      | Sara Macedo Castro                       | Fafe                           | Relojoeiro (Reparador)                                                                 |
|     55592721      | Dores AssunÁ„o Bulhıes                   | Marv„o                         | Carregador, Descarregador                                                              |
|     46266889      | Edmundo Ac†cio Carrilho Cabral           | Tarouca                        | TÈcnicos de Farm·cia                                                                   |
|     85298412      | Mariana Carminda Brand„o FogaÁa          | Lous„                          | Mandrilador Mec‚nico                                                                   |
|     29516714      | EugÇnia Fragoso                          | Chaves                         | Marinheiro ñ Marinha Mercante                                                          |
|     35686362      | Juca Maia                                | Sardoal                        | Outros Agentes de PolÌcia                                                              |
|     94752419      | Pl†cida Ac†cio NÛbrega Alvim             | Vila Nova De Foz CÙa           | Preparador de Caleiros                                                                 |
|     16854857      | JosÇ Tatiana Teodoro                     | Estremoz                       | Mestres, Marinheiros e Trabalhadores Similares                                         |
|     82649596      | Br°gido Etelvina Mantas Doutis           | Oliveira Do Hospital           | Carpinteiro de Selas                                                                   |
|     70130153      | CÉndido Graziela RebouÁas Penha          | …vora                          | Assistente de Bordo                                                                    |
|     72699662      | Agnete Lagoa Milheir„o                   | Vila Flor                      | Chefe de M·quinas                                                                      |
|     77001060      | Anabela Am†lia Lessa Carrasqueira        | Vagos                          | Reunidor de Mantas ñ Algod„o                                                           |
|     61757907      | Gonáalo Carlota ThomÈ Pereira            | Vila Velha De RÛd„o            | Encarregado de Portagem                                                                |
|     18845311      | Lurdes Mourinho                          | Vila Flor                      | FÌsico ñ Especialista do Estado SÛlido                                                 |
|     21111527      | Pl†cido Cinira Torcuato                  | Amares                         | Directores de Empresas de MediaÁ„o e PrestaÁ„o de ServiÁos                             |
|     34171300      | Tasha Misael Morgado Escobar             | Calheta De S„o Jorge           | Outros Directores de ServiÁos Inform·ticos                                             |
|     40964622      | Adriana Isaura Palhares                  | ValpaÁos                       | Guarda de Vesti·rio                                                                    |
|     23474215      | LÇia Abreu                               | Cuba                           | Operador de EstaÁ„o de DescoloraÁ„o (Filtrador de Xarope) AÁ˙car                       |
|     17262732      | Atan†sio Mattozo Vila-Ch„                | MaÁ„o                          | Outros Trabalhadores da PreparaÁ„o do Tabaco                                           |
|     81114904      | Leila Yasmin Torrado Gir„o               | PovoaÁ„o                       | Outros Engraxadores e Trabalhadores Similares                                          |
|     95678258      | Helo°sa Aleixo                           | Campo Maior                    | Outros Vendedores e Demonstradores                                                     |
|     99743424      | Donaldo Regalado Cotrim                  | Abrantes                       | Operador de M·quinas de Fabricar Alcatifas ñ Sistema Compact                           |
|     13983111      | Thays/Ta°s Lopes                         | Beja                           | Trabalhadores de Peles, Couro e CalÁado                                                |
|     50099563      | Luciana Quental                          | Freixo De Espada ¿ Cinta       | Inspectores da SeguranÁa Social                                                        |
|     20915163      | Carlota TÉnia Lemes Carvalhal            | MÈrtola                        | Pintor Electrost·tico                                                                  |
|     51223854      | Dayse La°s Sanches                       | Rio Maior                      | Demonstrador                                                                           |
|     15446023      | Vitorino C†tia Aires Varanda             | Vila De Rei                    | Engenheiro TÈcnico Civil ñ Arquitectura e Urbanismo                                    |
|     15530775      | Amador Leonardo Penha Curado             | Almeirim                       | Outras Parteiras                                                                       |
|     88113334      | Dana Leandra MendonÁa Lucas              | Pinhel                         | Director de Inform·tica                                                                |
|     46931633      | Anast†cio Almada                         | Vila Franca De Xira            | Operadores de InstalaÁıes de ProduÁ„o de Energia e Trabalhadores Similares             |
|     93898243      | Benito Joaquim Barata                    | S„o Jo„o Da Madeira            | Operador de Linha de Enchimento ñ Bebidas                                              |
|     15619312      | Josefa Belchiorinho Carvalhais           | Vila Nova De Paiva             | TÈcnico de An·lises ClÌnicas e de Sa˙de P˙blica                                        |
|     53537094      | Ant¢nio Vasconcellos Franco              | Armamar                        | Reconhecedor CartÛgrafo                                                                |
|     19376416      | Du°lha Eva Braga                         | Sines                          | Engomador de Teias                                                                     |
|     83299530      | Lucas Pel†gio FogaÁa                     | Lous„                          | Engenheiros QuÌmicos e Engenheiros TÈcnicos QuÌmicos                                   |
|     35876124      | Salema Alvarenga                         | Camara De Lobos                | Cardador ñ Peles                                                                       |
|     89538750      | Guilhermina T·vora                       | Ovar                           | Operador de Secador ñ Madeira                                                          |
|     90844743      | Madalena Manuelina Mansilha Sim„o        | NazarÈ                         | Maquinista Teatral                                                                     |
|     64195324      | Junia ãndia Lousado                      | Castelo De Paiva               | Maquinista Teatral                                                                     |
|     13864860      | Arminda Faia Santana                     | Resende                        | Polidor de Lentes ñ Vidro de ”ptica                                                    |
|     67223719      | Flìr Nelma Cedraz                        | MonÁ„o                         | Outros Especialistas do Ensino                                                         |
|     66344590      | AmÇlia Bernardes                         | Oliveira Do Hospital           | Outros Operadores de M·quinas do Fabrico de CalÁado e Artigos de Couro                 |
|     46990031      | Thays/Ta°s Cassandra Machado Mayor       | Alenquer                       | Operador de M·quina de Gomar ñ Borracha                                                |
|     14093366      | Malvina Celso Moraes                     | Lousada                        | Outro Pessoal de Limpeza de Casas Particulares e Trabalhadores Similares               |
|     91118187      | D£nia Padilha Caldas                     | Bai„o                          | Educador de Estabelecimento (Monitor, Perceptor)                                       |
